ID,COMID,ACC_TAV_JAN_2017,ACC_TAV_FEB_2017,ACC_TAV_MAR_2017,ACC_TAV_APR_2017,ACC_TAV_MAY_2017,ACC_TAV_JUN_2017,ACC_TAV_JUL_2017,ACC_TAV_AUG_2017,ACC_TAV_SEP_2017,ACC_TAV_OCT_2017,ACC_TAV_NOV_2017,ACC_TAV_DEC_2017,source
406322,3917070,-2.02,0.55,2.97,3.22,10.27,14.4,20.74,21.24,15.36,8.68,2.38,1.9,ACC_TAV_2017
406323,3917072,-1.97,0.62,3.06,3.32,10.39,14.51,20.87,21.37,15.47,8.78,2.45,1.9,ACC_TAV_2017
406328,3917082,-2.8,-0.16,1.99,2.05,9.18,13.34,19.82,20.1,14.13,7.78,1.83,1.14,ACC_TAV_2017
406329,3917084,-2.29,0.23,2.55,2.65,9.79,13.91,20.21,20.6,14.76,8.21,2.22,1.46,ACC_TAV_2017
406340,3917106,-2.32,0.3,2.62,2.68,9.82,13.94,20.28,20.65,14.75,8.24,2.26,1.46,ACC_TAV_2017
406344,3917114,-1.7,1.08,3.6,3.77,10.88,14.99,21.1,21.57,15.72,9,2.97,1.89,ACC_TAV_2017
406352,3917130,-1.88,0.96,3.44,3.41,10.52,14.62,20.93,21.33,15.38,8.8,2.79,1.77,ACC_TAV_2017
406355,3917136,-2.11,0.82,3.18,3.17,10.23,14.35,20.79,21.14,15.09,8.64,2.67,1.65,ACC_TAV_2017
406356,3917138,-1.13,2.13,4.8,4.7,11.7,15.75,22.08,22.56,16.42,9.81,3.81,2.36,ACC_TAV_2017
406364,3917154,-1.89,0.77,3.24,3.48,10.55,14.67,20.95,21.44,15.56,8.86,2.62,1.91,ACC_TAV_2017
406365,3917156,-1.34,1.76,4.41,4.67,11.7,15.84,21.86,22.34,16.45,9.65,3.56,2.19,ACC_TAV_2017
406366,3917158,-0.54,3.96,6.63,7.31,13.88,18.33,23.58,23.73,17.82,10.74,5.79,1.94,ACC_TAV_2017
406367,3917160,-0.42,3.85,6.55,7.11,13.74,18.14,23.46,23.72,17.78,10.84,5.53,2.14,ACC_TAV_2017
406368,3917162,-1.82,1.05,3.55,3.54,10.64,14.74,21.02,21.42,15.48,8.87,2.87,1.81,ACC_TAV_2017
406369,3917164,-0.59,2.93,5.65,6.11,13.01,17.25,23.07,23.53,17.54,10.57,4.69,2.24,ACC_TAV_2017
406373,3917172,-1.2,1.92,4.52,4.9,11.86,16.05,22.09,22.56,16.61,9.77,3.73,2.11,ACC_TAV_2017
406375,3917176,-1.68,1.26,3.8,3.88,10.95,15.07,21.26,21.68,15.75,9.09,3.09,1.91,ACC_TAV_2017
406376,3917178,-1.74,1.16,3.68,3.73,10.82,14.93,21.15,21.57,15.64,9,2.98,1.88,ACC_TAV_2017
406383,3917194,-1.94,0.75,3.24,3.19,10.37,14.43,20.84,21.21,15.29,8.66,2.59,1.69,ACC_TAV_2017
406384,3917198,-1.45,1.72,4.29,4.47,11.47,15.63,21.68,22.07,16.14,9.41,3.54,1.95,ACC_TAV_2017
406385,3917200,-1.39,1.88,4.45,4.67,11.62,15.82,21.81,22.18,16.26,9.5,3.69,1.93,ACC_TAV_2017
406396,3917230,-0.81,4.51,7.13,7.72,14.32,18.95,24.12,24.22,18.23,10.65,6.05,0.83,ACC_TAV_2017
406398,3917244,-1.11,2.49,5.05,5.33,12.28,16.46,22.09,22.4,16.52,9.72,4.31,1.77,ACC_TAV_2017
406496,3917912,-1.79,1.08,3.58,3.61,10.71,14.81,21.07,21.49,15.55,8.93,2.9,1.85,ACC_TAV_2017
406497,3917914,-1.37,1.87,4.48,4.33,11.34,15.43,21.74,22.18,16.16,9.55,3.58,2.11,ACC_TAV_2017
406498,3917916,-1.67,1.28,3.83,3.74,10.84,14.92,21.26,21.67,15.69,9.07,3.05,1.92,ACC_TAV_2017
406499,3917918,-1.52,1.57,4.12,4.27,11.3,15.45,21.55,21.95,16.02,9.31,3.38,1.95,ACC_TAV_2017
406500,3917920,-0.48,3.91,6.59,7.21,13.81,18.24,23.52,23.73,17.81,10.79,5.66,2.03,ACC_TAV_2017
406501,3917922,-0.54,4.15,6.79,7.48,13.9,18.55,23.71,23.82,18.08,10.84,5.97,1.64,ACC_TAV_2017
406511,3917946,-1.1,2.54,5.1,5.38,12.34,16.52,22.14,22.44,16.56,9.74,4.35,1.75,ACC_TAV_2017
406512,3917948,-1.38,1.93,4.5,4.72,11.67,15.87,21.85,22.22,16.29,9.52,3.74,1.92,ACC_TAV_2017
406513,3917950,-1.11,2.45,5.01,5.28,12.24,16.41,22.06,22.36,16.49,9.7,4.28,1.79,ACC_TAV_2017
2695742,948010089,-0.54,4.15,6.79,7.48,13.9,18.55,23.71,23.82,18.08,10.84,5.97,1.64,ACC_TAV_2017
