COMID,CAT_RUN1996_ANN,ACC_RUN1996_ANN,TOT_RUN1996_ANN,source
3917070,669.96,669.96,669.96,RUN1996_ANN_CONUS
3917072,636.24,636.24,636.24,RUN1996_ANN_CONUS
3917082,652.56,652.56,652.56,RUN1996_ANN_CONUS
3917084,713.16,713.16,713.16,RUN1996_ANN_CONUS
3917106,609.24,670.08,670.08,RUN1996_ANN_CONUS
3917114,608.76,608.76,608.76,RUN1996_ANN_CONUS
3917130,561.6,587.52,587.52,RUN1996_ANN_CONUS
3917136,551.16,551.16,551.16,RUN1996_ANN_CONUS
3917138,486.6,486.6,486.6,RUN1996_ANN_CONUS
3917154,627.84,635.52,635.52,RUN1996_ANN_CONUS
3917156,529.2,529.2,529.2,RUN1996_ANN_CONUS
3917158,299.88,299.88,299.88,RUN1996_ANN_CONUS
3917160,327.24,327.24,327.24,RUN1996_ANN_CONUS
3917162,494.52,580.2,580.2,RUN1996_ANN_CONUS
3917164,451.08,451.08,451.08,RUN1996_ANN_CONUS
3917172,531.72,531.72,531.72,RUN1996_ANN_CONUS
3917176,470.88,566.88,566.88,RUN1996_ANN_CONUS
3917178,485.16,573.6,573.6,RUN1996_ANN_CONUS
3917194,588.48,588.48,588.48,RUN1996_ANN_CONUS
3917198,284.52,526.68,526.68,RUN1996_ANN_CONUS
3917200,237.96,510.84,510.84,RUN1996_ANN_CONUS
3917230,208.32,208.32,208.32,RUN1996_ANN_CONUS
3917244,205.8,551.4,591.72,RUN1996_ANN_CONUS
3917912,493.44,580.56,580.56,RUN1996_ANN_CONUS
3917914,460.2,473.64,473.64,RUN1996_ANN_CONUS
3917916,523.8,539.16,539.16,RUN1996_ANN_CONUS
3917918,372.72,541.92,541.92,RUN1996_ANN_CONUS
3917920,298.32,314.04,314.04,RUN1996_ANN_CONUS
3917922,282.48,282.48,282.48,RUN1996_ANN_CONUS
3917946,236.04,544.2,585.84,RUN1996_ANN_CONUS
3917948,226.44,505.44,505.44,RUN1996_ANN_CONUS
3917950,211.8,557.52,596.64,RUN1996_ANN_CONUS
948010089,273.36,281.64,281.64,RUN1996_ANN_CONUS
