COMID,CAT_PPT1954_ANN,ACC_PPT1954_ANN,TOT_PPT1954_ANN,source
3917070,699.12,699.12,699.12,PPT1954_ANN_CONUS
3917072,688.44,688.44,688.44,PPT1954_ANN_CONUS
3917082,689.04,689.04,689.04,PPT1954_ANN_CONUS
3917084,697.8,697.8,697.8,PPT1954_ANN_CONUS
3917106,653.64,680.4,680.4,PPT1954_ANN_CONUS
3917114,641.64,641.64,641.64,PPT1954_ANN_CONUS
3917130,613.68,671.16,671.16,PPT1954_ANN_CONUS
3917136,598.32,598.32,598.32,PPT1954_ANN_CONUS
3917138,522.72,522.72,522.72,PPT1954_ANN_CONUS
3917154,670.8,676.08,676.08,PPT1954_ANN_CONUS
3917156,616.44,616.44,616.44,PPT1954_ANN_CONUS
3917158,409.08,409.08,409.08,PPT1954_ANN_CONUS
3917160,436.92,436.92,436.92,PPT1954_ANN_CONUS
3917162,606.96,665.04,665.04,PPT1954_ANN_CONUS
3917164,525.48,525.48,525.48,PPT1954_ANN_CONUS
3917172,597.84,597.84,597.84,PPT1954_ANN_CONUS
3917176,696.84,658.56,658.56,PPT1954_ANN_CONUS
3917178,666.84,661.44,661.44,PPT1954_ANN_CONUS
3917194,793.56,793.56,793.56,PPT1954_ANN_CONUS
3917198,394.08,623.88,623.88,PPT1954_ANN_CONUS
3917200,360.12,607.8,607.8,PPT1954_ANN_CONUS
3917230,311.04,311.04,311.04,PPT1954_ANN_CONUS
3917244,321.48,751.2,837.72,PPT1954_ANN_CONUS
3917912,600.6,662.52,662.52,PPT1954_ANN_CONUS
3917914,529.32,539.28,539.28,PPT1954_ANN_CONUS
3917916,621.72,678,678,PPT1954_ANN_CONUS
3917918,526.8,638.16,638.16,PPT1954_ANN_CONUS
3917920,406.68,423.36,423.36,PPT1954_ANN_CONUS
3917922,377.16,377.16,377.16,PPT1954_ANN_CONUS
3917946,338.16,741.84,829.56,PPT1954_ANN_CONUS
3917948,349.08,602.88,602.88,PPT1954_ANN_CONUS
3917950,337.08,758.88,844.44,PPT1954_ANN_CONUS
948010089,370.92,376.68,376.68,PPT1954_ANN_CONUS
