COMID,ACC_BASIN_AREA,ACC_STREAM_SLOPE,ACC_BASIN_SLOPE,ACC_ELEV_MEAN,ACC_ELEV_MIN,ACC_ELEV_MAX,ACC_STREAM_LENGTH,source
3917070,1.65,0.156863,27.33,2060.76,1755.53,2383.05,1.02,BASIN_CHAR_ACC_CONUS
3917072,0.09,0,22.77,1866.02,1772.7,1939.18,0.21,BASIN_CHAR_ACC_CONUS
3917082,1.48,0.052632,17.18,2060.7,1795.61,2369.93,0.19,BASIN_CHAR_ACC_CONUS
3917084,15,0.008264,12.38,1975.96,1797.03,2369.24,2.42,BASIN_CHAR_ACC_CONUS
3917106,26.69,0.025408,15.4,1932.9,1476.92,2369.93,5.51,BASIN_CHAR_ACC_CONUS
3917114,1.99,0.073394,20.25,1617.72,1342.13,1906.96,2.18,BASIN_CHAR_ACC_CONUS
3917130,76.5,0.024633,14.87,1835.96,1345.6,2524.2,17.05,BASIN_CHAR_ACC_CONUS
3917136,1.79,0.16,17.09,1992.28,1739.26,2222.34,0.5,BASIN_CHAR_ACC_CONUS
3917138,0.12,0,20.25,1818.09,1729.72,1962.52,0.19,BASIN_CHAR_ACC_CONUS
3917154,9.17,0.04584,23.14,1763.96,1266.04,2383.05,5.89,BASIN_CHAR_ACC_CONUS
3917156,3.18,0.04698,26.7,1434.72,1184.12,1783.56,2.98,BASIN_CHAR_ACC_CONUS
3917158,2.15,0.034286,19.08,1094.96,974.95,1284.16,1.75,BASIN_CHAR_ACC_CONUS
3917160,5.35,0.013812,17.04,1116.54,973.22,1281.78,3.62,BASIN_CHAR_ACC_CONUS
3917162,85.69,0.030216,15.86,1818.47,1263.19,2524.2,20.85,BASIN_CHAR_ACC_CONUS
3917164,9.28,0.021978,27.96,1245.42,984.64,1659.05,2.73,BASIN_CHAR_ACC_CONUS
3917172,8.14,0.017405,30.31,1587.81,1063.56,2378.58,6.32,BASIN_CHAR_ACC_CONUS
3917176,122.61,0.031318,18.81,1748.69,986.39,2524.2,41.51,BASIN_CHAR_ACC_CONUS
3917178,109.72,0.03402,17.79,1774.69,1064.46,2524.2,33.51,BASIN_CHAR_ACC_CONUS
3917194,19.25,0.0125,12.33,1847.81,1581.03,2419.84,2.4,BASIN_CHAR_ACC_CONUS
3917198,155.33,0.026923,19.01,1622.87,878.13,2524.2,57.2,BASIN_CHAR_ACC_CONUS
3917200,166.1,0.025191,18.44,1581.39,872.65,2524.2,62.72,BASIN_CHAR_ACC_CONUS
3917230,2.82,0.004237,1.45,796.83,779.34,832.59,2.36,BASIN_CHAR_ACC_CONUS
3917244,690.29,0.022157,15.45,1373.44,779.33,3745.13,187.66,BASIN_CHAR_ACC_CONUS
3917912,100.33,0.033569,16.99,1798.06,1186.21,2524.2,28.3,BASIN_CHAR_ACC_CONUS
3917914,12.37,0.080357,12.94,1794.91,1583.74,2222.34,2.24,BASIN_CHAR_ACC_CONUS
3917916,40.64,0.027972,13.33,1813.69,1476.05,2524.2,8.58,BASIN_CHAR_ACC_CONUS
3917918,145.01,0.028389,19.15,1662.28,890.08,2524.2,48.61,BASIN_CHAR_ACC_CONUS
3917920,10.01,0.017566,17.25,1073.96,889.71,1284.16,7.97,BASIN_CHAR_ACC_CONUS
3917922,9.74,0.008065,9.36,989.34,875.75,1126.02,3.72,BASIN_CHAR_ACC_CONUS
3917946,706,0.021308,15.23,1360.52,753.9,3745.13,195.61,BASIN_CHAR_ACC_CONUS
3917948,169.3,0.024051,18.26,1568.04,827.79,2524.2,66.11,BASIN_CHAR_ACC_CONUS
3917950,678.15,0.022654,15.69,1383.72,795.33,3745.13,183.54,BASIN_CHAR_ACC_CONUS
948010089,10.7,0.00565,10.27,984.14,872.65,1126.02,5.31,BASIN_CHAR_ACC_CONUS
