COMID,CAT_TAV1967_ANN,ACC_TAV1967_ANN,TOT_TAV1967_ANN,source
3917070,7.83,7.83,7.83,TAV1967_ANN_CONUS
3917072,7.98,7.98,7.98,TAV1967_ANN_CONUS
3917082,7.5,7.5,7.5,TAV1967_ANN_CONUS
3917084,7.31,7.31,7.31,TAV1967_ANN_CONUS
3917106,7.63,7.45,7.45,TAV1967_ANN_CONUS
3917114,7.69,7.69,7.69,TAV1967_ANN_CONUS
3917130,7.81,7.75,7.75,TAV1967_ANN_CONUS
3917136,7.76,7.76,7.76,TAV1967_ANN_CONUS
3917138,7.9,7.9,7.9,TAV1967_ANN_CONUS
3917154,7.85,7.85,7.85,TAV1967_ANN_CONUS
3917156,8.15,8.15,8.15,TAV1967_ANN_CONUS
3917158,9.36,9.36,9.36,TAV1967_ANN_CONUS
3917160,9.18,9.18,9.18,TAV1967_ANN_CONUS
3917162,8.08,7.78,7.78,TAV1967_ANN_CONUS
3917164,8.72,8.72,8.72,TAV1967_ANN_CONUS
3917172,8.37,8.37,8.37,TAV1967_ANN_CONUS
3917176,8.55,7.91,7.91,TAV1967_ANN_CONUS
3917178,8.3,7.85,7.85,TAV1967_ANN_CONUS
3917194,7.9,7.9,7.9,TAV1967_ANN_CONUS
3917198,9.66,8.14,8.14,TAV1967_ANN_CONUS
3917200,10.08,8.25,8.25,TAV1967_ANN_CONUS
3917230,10.59,10.59,10.59,TAV1967_ANN_CONUS
3917244,10.54,8.28,8.28,TAV1967_ANN_CONUS
3917912,8.18,7.81,7.81,TAV1967_ANN_CONUS
3917914,8.08,8.03,8.03,TAV1967_ANN_CONUS
3917916,7.92,7.95,7.95,TAV1967_ANN_CONUS
3917918,8.99,8.06,8.06,TAV1967_ANN_CONUS
3917920,9.39,9.27,9.27,TAV1967_ANN_CONUS
3917922,9.78,9.78,9.78,TAV1967_ANN_CONUS
3917946,10.75,8.33,8.32,TAV1967_ANN_CONUS
3917948,10.15,8.28,8.28,TAV1967_ANN_CONUS
3917950,10.35,8.24,8.26,TAV1967_ANN_CONUS
948010089,9.86,9.79,9.79,TAV1967_ANN_CONUS
