COMID,CAT_TAV1986_ANN,ACC_TAV1986_ANN,TOT_TAV1986_ANN,source
3917070,8.86,8.86,8.86,TAV1986_ANN_CONUS
3917072,9.02,9.02,9.02,TAV1986_ANN_CONUS
3917082,8.59,8.59,8.59,TAV1986_ANN_CONUS
3917084,8.37,8.37,8.37,TAV1986_ANN_CONUS
3917106,8.71,8.51,8.51,TAV1986_ANN_CONUS
3917114,8.8,8.8,8.8,TAV1986_ANN_CONUS
3917130,8.87,8.84,8.84,TAV1986_ANN_CONUS
3917136,8.85,8.85,8.85,TAV1986_ANN_CONUS
3917138,8.97,8.97,8.97,TAV1986_ANN_CONUS
3917154,8.91,8.91,8.91,TAV1986_ANN_CONUS
3917156,9.28,9.28,9.28,TAV1986_ANN_CONUS
3917158,10.67,10.67,10.67,TAV1986_ANN_CONUS
3917160,10.43,10.43,10.43,TAV1986_ANN_CONUS
3917162,9.19,8.87,8.87,TAV1986_ANN_CONUS
3917164,9.92,9.92,9.92,TAV1986_ANN_CONUS
3917172,9.5,9.5,9.5,TAV1986_ANN_CONUS
3917176,9.69,9,9,TAV1986_ANN_CONUS
3917178,9.46,8.94,8.94,TAV1986_ANN_CONUS
3917194,8.96,8.96,8.96,TAV1986_ANN_CONUS
3917198,10.9,9.26,9.26,TAV1986_ANN_CONUS
3917200,11.25,9.38,9.38,TAV1986_ANN_CONUS
3917230,11.72,11.72,11.72,TAV1986_ANN_CONUS
3917244,11.66,9.38,9.33,TAV1986_ANN_CONUS
3917912,9.33,8.89,8.89,TAV1986_ANN_CONUS
3917914,9.29,9.22,9.22,TAV1986_ANN_CONUS
3917916,8.97,9.04,9.04,TAV1986_ANN_CONUS
3917918,10.22,9.17,9.17,TAV1986_ANN_CONUS
3917920,10.69,10.55,10.55,TAV1986_ANN_CONUS
3917922,11.01,11.01,11.01,TAV1986_ANN_CONUS
3917946,11.85,9.43,9.37,TAV1986_ANN_CONUS
3917948,11.31,9.41,9.41,TAV1986_ANN_CONUS
3917950,11.48,9.34,9.3,TAV1986_ANN_CONUS
948010089,11.08,11.02,11.02,TAV1986_ANN_CONUS
