COMID,TOT_WB5100_JAN,TOT_WB5100_FEB,TOT_WB5100_MAR,TOT_WB5100_APR,TOT_WB5100_MAY,TOT_WB5100_JUN,TOT_WB5100_JUL,TOT_WB5100_AUG,TOT_WB5100_SEP,TOT_WB5100_OCT,TOT_WB5100_NOV,TOT_WB5100_DEC,TOT_NODATA,source
3917070,45,72,64,49,36,19,9,5,3,4,13,26,0,WB5100_TOT_CONUS
3917072,45,72,64,49,36,19,9,5,3,4,13,26,0,WB5100_TOT_CONUS
3917082,44.65,74.65,64.49,51.37,38.64,21.44,10.62,6.21,3.6,4.59,11.61,25.15,0,WB5100_TOT_CONUS
3917084,46.45,78.61,67.99,54.86,41.95,23.32,11.61,6.75,3.87,4.87,12.85,26.66,0,WB5100_TOT_CONUS
3917106,42.37,69.05,59.83,46.38,33.83,18.55,9.05,5.3,3.14,4.14,10.19,23.29,0,WB5100_TOT_CONUS
3917114,42.02,63.12,56.55,40.85,27.85,14.59,6.81,4.3,3.03,4.03,9.21,22.99,0,WB5100_TOT_CONUS
3917130,42.08,67.26,59.97,44.9,31.74,16.93,8.11,4.61,2.72,3.69,9.87,21.99,0,WB5100_TOT_CONUS
3917136,35.31,52.97,46.31,32.45,20.59,10.79,4.93,2.93,1.93,2.93,5.86,17.59,0,WB5100_TOT_CONUS
3917138,36,54,47,33,21,11,5,3,2,3,6,18,0,WB5100_TOT_CONUS
3917154,44.3,69.88,62.23,47.06,34.06,17.94,8.47,4.82,3,4,12.12,25.3,0,WB5100_TOT_CONUS
3917156,42.42,64.27,57.56,41.92,28.92,15.14,7.07,4.36,3,4,9.78,23.42,0,WB5100_TOT_CONUS
3917158,30.43,35.46,28.46,16.43,10,4.83,2.22,1.6,1.6,2.6,4.43,15.63,0,WB5100_TOT_CONUS
3917160,28.87,33.02,26.02,14.87,9.15,4.29,1.86,1.43,1.43,2.43,3.72,14.58,0,WB5100_TOT_CONUS
3917162,42.21,67,59.81,44.62,31.45,16.76,8.01,4.59,2.76,3.74,9.82,22.13,0,WB5100_TOT_CONUS
3917164,38.27,48.85,42.19,27.17,17.29,8.9,4.37,2.68,2.34,3.17,8.22,20.73,0,WB5100_TOT_CONUS
3917172,47.06,71.56,64.48,48.33,34.47,18.22,8.68,4.84,3.12,3.87,13.55,26.93,0,WB5100_TOT_CONUS
3917176,43.84,68.79,61.74,46.12,32.62,17.35,8.27,4.74,2.93,3.85,10.8,23.52,0,WB5100_TOT_CONUS
3917178,43,67.77,60.66,45.25,31.96,17,8.1,4.66,2.86,3.83,10.28,22.87,0,WB5100_TOT_CONUS
3917194,47.65,78.1,71.62,53.93,38.72,20.2,9.6,5.18,2.71,3.71,12.82,24.3,0,WB5100_TOT_CONUS
3917198,43.15,65.68,58.78,43.33,30.4,16.15,7.7,4.41,2.83,3.7,10.56,23.22,0,WB5100_TOT_CONUS
3917200,42,63.23,56.32,41.26,28.88,15.32,7.3,4.19,2.71,3.59,10.03,22.52,0,WB5100_TOT_CONUS
3917230,15.34,15.69,10.03,4.69,3.34,2.34,1,1,1,2,2,7,0,WB5100_TOT_CONUS
3917244,53.87,69.93,72.85,61.38,50.82,35.86,25.49,19.02,14.47,14.41,23.94,34.91,0,WB5100_TOT_CONUS
3917912,42.42,67.09,59.9,44.67,31.52,16.76,7.99,4.6,2.8,3.78,10.01,22.48,0,WB5100_TOT_CONUS
3917914,32.61,50.11,45.01,31.35,19.83,10.27,4.91,2.75,1.74,2.59,5.68,15.77,0,WB5100_TOT_CONUS
3917916,42.05,67.24,61.03,45.04,31.42,16.47,7.82,4.27,2.4,3.36,9.98,21.18,0,WB5100_TOT_CONUS
3917918,44.2,68.05,61.16,45.39,31.94,16.99,8.11,4.63,2.93,3.79,11.05,23.85,0,WB5100_TOT_CONUS
3917920,28.46,32.48,25.48,14.46,8.79,4.31,1.94,1.36,1.36,2.36,3.66,14.38,0,WB5100_TOT_CONUS
3917922,25.36,27.72,20.72,11.36,7,3.36,1.36,1,1,2,2.36,12.36,0,WB5100_TOT_CONUS
3917946,53.26,69.07,71.86,60.48,50.06,35.32,25.09,18.73,14.25,14.2,23.58,34.46,0,WB5100_TOT_CONUS
3917948,41.68,62.57,55.66,40.7,28.46,15.11,7.2,4.13,2.68,3.56,9.9,22.33,0,WB5100_TOT_CONUS
3917950,54.36,70.61,73.64,62.09,51.43,36.29,25.8,19.25,14.64,14.57,24.22,35.27,0,WB5100_TOT_CONUS
948010089,25.42,27.83,20.83,11.42,7,3.42,1.42,1,1,2,2.42,12.42,0,WB5100_TOT_CONUS
