COMID,CAT_PPT1945_ANN,ACC_PPT1945_ANN,TOT_PPT1945_ANN,source
3917070,876.72,876.72,876.72,PPT1945_ANN_CONUS
3917072,861.84,861.84,861.84,PPT1945_ANN_CONUS
3917082,922.2,922.2,922.2,PPT1945_ANN_CONUS
3917084,893.88,893.88,893.88,PPT1945_ANN_CONUS
3917106,876.36,888.72,888.72,PPT1945_ANN_CONUS
3917114,789.48,789.48,789.48,PPT1945_ANN_CONUS
3917130,783.36,873,873,PPT1945_ANN_CONUS
3917136,820.92,820.92,820.92,PPT1945_ANN_CONUS
3917138,720.96,720.96,720.96,PPT1945_ANN_CONUS
3917154,834.36,842.28,842.28,PPT1945_ANN_CONUS
3917156,762.12,762.12,762.12,PPT1945_ANN_CONUS
3917158,538.44,538.44,538.44,PPT1945_ANN_CONUS
3917160,570.84,570.84,570.84,PPT1945_ANN_CONUS
3917162,759,861.48,861.48,PPT1945_ANN_CONUS
3917164,708.36,708.36,708.36,PPT1945_ANN_CONUS
3917172,776.52,776.52,776.52,PPT1945_ANN_CONUS
3917176,865.8,843.48,843.48,PPT1945_ANN_CONUS
3917178,808.08,847.56,847.56,PPT1945_ANN_CONUS
3917194,997.32,997.32,997.32,PPT1945_ANN_CONUS
3917198,527.04,802.44,802.44,PPT1945_ANN_CONUS
3917200,503.76,783,783,PPT1945_ANN_CONUS
3917230,429.96,429.96,429.96,PPT1945_ANN_CONUS
3917244,447.84,920.64,983.28,PPT1945_ANN_CONUS
3917912,731.64,852.6,852.6,PPT1945_ANN_CONUS
3917914,747.84,758.16,758.16,PPT1945_ANN_CONUS
3917916,810.12,882.96,882.96,PPT1945_ANN_CONUS
3917918,680.4,820.08,820.08,PPT1945_ANN_CONUS
3917920,535.68,555.12,555.12,PPT1945_ANN_CONUS
3917922,502.68,502.68,502.68,PPT1945_ANN_CONUS
3917946,432.96,909.72,974.28,PPT1945_ANN_CONUS
3917948,492.48,777.48,777.48,PPT1945_ANN_CONUS
3917950,472.08,929.04,990.12,PPT1945_ANN_CONUS
948010089,496.56,502.08,502.08,PPT1945_ANN_CONUS
