COMID,CAT_RUN1988_ANN,ACC_RUN1988_ANN,TOT_RUN1988_ANN,source
3917070,294.24,294.24,294.24,RUN1988_ANN_CONUS
3917072,281.28,281.28,281.28,RUN1988_ANN_CONUS
3917082,286.2,286.2,286.2,RUN1988_ANN_CONUS
3917084,330.12,330.12,330.12,RUN1988_ANN_CONUS
3917106,265.92,303.12,303.12,RUN1988_ANN_CONUS
3917114,250.8,250.8,250.8,RUN1988_ANN_CONUS
3917130,238.8,269.04,269.04,RUN1988_ANN_CONUS
3917136,252,252,252,RUN1988_ANN_CONUS
3917138,239.76,239.76,239.76,RUN1988_ANN_CONUS
3917154,270.96,275.28,275.28,RUN1988_ANN_CONUS
3917156,192.72,192.72,192.72,RUN1988_ANN_CONUS
3917158,56.16,56.16,56.16,RUN1988_ANN_CONUS
3917160,61.92,61.92,61.92,RUN1988_ANN_CONUS
3917162,183.36,261.36,261.36,RUN1988_ANN_CONUS
3917164,138.36,138.36,138.36,RUN1988_ANN_CONUS
3917172,199.44,199.44,199.44,RUN1988_ANN_CONUS
3917176,169.44,243.84,243.84,RUN1988_ANN_CONUS
3917178,165.48,250.32,250.32,RUN1988_ANN_CONUS
3917194,280.68,280.68,280.68,RUN1988_ANN_CONUS
3917198,48.96,213.36,213.36,RUN1988_ANN_CONUS
3917200,29.04,202.56,202.56,RUN1988_ANN_CONUS
3917230,14.04,14.04,14.04,RUN1988_ANN_CONUS
3917244,12.24,233.28,257.4,RUN1988_ANN_CONUS
3917912,164.28,257.4,257.4,RUN1988_ANN_CONUS
3917914,212.4,218.4,218.4,RUN1988_ANN_CONUS
3917916,243.96,253.56,253.56,RUN1988_ANN_CONUS
3917918,103.32,224.28,224.28,RUN1988_ANN_CONUS
3917920,55.32,59.04,59.04,RUN1988_ANN_CONUS
3917922,47.88,47.88,47.88,RUN1988_ANN_CONUS
3917946,21.96,228.48,253.56,RUN1988_ANN_CONUS
3917948,24.12,199.2,199.2,RUN1988_ANN_CONUS
3917950,16.08,237.24,260.64,RUN1988_ANN_CONUS
948010089,43.44,47.52,47.52,RUN1988_ANN_CONUS
