COMID,CAT_RUN1990_ANN,ACC_RUN1990_ANN,TOT_RUN1990_ANN,source
3917070,335.52,335.52,335.52,RUN1990_ANN_CONUS
3917072,315.96,315.96,315.96,RUN1990_ANN_CONUS
3917082,361.2,361.2,361.2,RUN1990_ANN_CONUS
3917084,371.4,371.4,371.4,RUN1990_ANN_CONUS
3917106,329.88,354.96,354.96,RUN1990_ANN_CONUS
3917114,276.84,276.84,276.84,RUN1990_ANN_CONUS
3917130,271.44,309.36,309.36,RUN1990_ANN_CONUS
3917136,295.92,295.92,295.92,RUN1990_ANN_CONUS
3917138,244.32,244.32,244.32,RUN1990_ANN_CONUS
3917154,302.16,308.28,308.28,RUN1990_ANN_CONUS
3917156,223.92,223.92,223.92,RUN1990_ANN_CONUS
3917158,15.72,15.72,15.72,RUN1990_ANN_CONUS
3917160,33.24,33.24,33.24,RUN1990_ANN_CONUS
3917162,219.72,301.08,301.08,RUN1990_ANN_CONUS
3917164,148.68,148.68,148.68,RUN1990_ANN_CONUS
3917172,223.32,223.32,223.32,RUN1990_ANN_CONUS
3917176,197.52,280.68,280.68,RUN1990_ANN_CONUS
3917178,200.88,288.48,288.48,RUN1990_ANN_CONUS
3917194,328.92,328.92,328.92,RUN1990_ANN_CONUS
3917198,15.24,240.24,240.24,RUN1990_ANN_CONUS
3917200,14.28,225.6,225.6,RUN1990_ANN_CONUS
3917230,11.52,11.52,11.52,RUN1990_ANN_CONUS
3917244,12,262.2,286.8,RUN1990_ANN_CONUS
3917912,195.72,296.04,296.04,RUN1990_ANN_CONUS
3917914,227.28,237.36,237.36,RUN1990_ANN_CONUS
3917916,270,288,288,RUN1990_ANN_CONUS
3917918,96.84,255.6,255.6,RUN1990_ANN_CONUS
3917920,15.6,24.96,24.96,RUN1990_ANN_CONUS
3917922,15,15,15,RUN1990_ANN_CONUS
3917946,12.24,256.56,282.36,RUN1990_ANN_CONUS
3917948,13.92,221.64,221.64,RUN1990_ANN_CONUS
3917950,13.08,266.64,290.28,RUN1990_ANN_CONUS
948010089,14.52,15,15,RUN1990_ANN_CONUS
